Agent,Seed,Heuristic,Solved,HNode,LNode,Time,Makespan,SOC,SOL
50,87,conflict,1, 51, 233, 1, 50, 1165, 1061
50,87,neighbour,1, 51, 228, 1, 50, 1156, 1071
50,88,ML,1, 55, 245, 76, 54, 1307, 1148
50,88,distance,1, 55, 249, 2, 54, 1229, 1113
50,88,conflict,1, 55, 260, 2, 54, 1250, 1125
50,88,neighbour,1, 57, 252, 1, 56, 1292, 1137
50,89,ML,1, 45, 208, 66, 44, 1189, 1097
50,89,distance,1, 45, 211, 2, 44, 1265, 1119
50,89,conflict,1, 45, 207, 2, 44, 1201, 1096
50,89,neighbour,1, 45, 206, 1, 44, 1285, 1113
50,90,ML,1, 40, 190, 70, 39, 1264, 1211
50,90,distance,1, 40, 179, 1, 39, 1287, 1209
50,90,conflict,1, 40, 182, 1, 39, 1345, 1243
50,90,neighbour,1, 78, 401, 2, 69, 1512, 1422
50,91,ML,1, 50, 231, 78, 49, 1311, 1234
50,91,distance,1, 50, 230, 1, 49, 1313, 1241
50,91,conflict,1, 54, 246, 1, 53, 1410, 1298
50,91,neighbour,1, 50, 221, 2, 49, 1338, 1258
50,92,ML,1, 49, 215, 75, 48, 1294, 1200
50,92,distance,1, 49, 227, 1, 48, 1283, 1196
50,92,conflict,1, 53, 241, 1, 52, 1328, 1186
50,92,neighbour,1, 49, 221, 2, 48, 1296, 1184
50,93,ML,1, 49, 217, 77, 48, 1206, 1107
50,93,distance,1, 49, 232, 2, 48, 1221, 1138
50,93,conflict,1, 49, 227, 2, 48, 1227, 1139
50,93,neighbour,1, 50, 220, 1, 49, 1216, 1140
50,94,ML,1, 48, 215, 69, 47, 1449, 1308
50,94,distance,1, 45, 211, 2, 44, 1348, 1297
50,94,conflict,1, 46, 202, 1, 45, 1426, 1296
50,94,neighbour,1, 52, 220, 1, 51, 1468, 1324
50,95,ML,1, 57, 265, 66, 56, 1335, 1233
50,95,distance,1, 57, 256, 2, 56, 1414, 1248
50,95,conflict,1, 57, 255, 1, 56, 1379, 1215
50,95,neighbour,1, 57, 256, 1, 56, 1357, 1264
50,96,ML,1, 50, 231, 73, 49, 1381, 1239
50,96,distance,1, 48, 222, 1, 47, 1376, 1232
50,96,conflict,1, 48, 219, 2, 47, 1300, 1211
50,96,neighbour,1, 50, 221, 1, 49, 1333, 1194
50,97,ML,1, 50, 230, 82, 49, 1215, 1090
50,97,distance,1, 50, 232, 1, 49, 1249, 1104
50,97,conflict,1, 54, 239, 1, 53, 1186, 1072
50,97,neighbour,1, 51, 220, 2, 50, 1212, 1094
50,98,ML,1, 42, 193, 69, 41, 1217, 1139
50,98,distance,1, 42, 196, 1, 41, 1229, 1127
50,98,conflict,1, 44, 201, 2, 43, 1262, 1141
50,98,neighbour,1, 42, 192, 1, 41, 1234, 1127
50,99,ML,1, 49, 223, 82, 48, 1383, 1290
50,99,distance,1, 48, 214, 2, 47, 1414, 1308
50,99,conflict,1, 51, 230, 2, 50, 1415, 1270
50,99,neighbour,1, 71, 314, 1, 69, 1435, 1348
50,100,ML,1, 54, 239, 66, 53, 1232, 1130
50,100,distance,1, 54, 242, 1, 53, 1288, 1121
50,100,conflict,1, 56, 243, 1, 55, 1330, 1159
50,100,neighbour,1, 54, 239, 1, 53, 1308, 1131
50,101,ML,1, 48, 220, 68, 47, 1367, 1262
50,101,distance,1, 48, 213, 1, 47, 1391, 1292
50,101,conflict,1, 48, 212, 1, 47, 1322, 1252
50,101,neighbour,1, 49, 217, 2, 48, 1347, 1284
50,102,ML,1, 49, 229, 70, 48, 1222, 1102
50,102,distance,1, 49, 226, 1, 48, 1286, 1129
50,102,conflict,1, 53, 248, 1, 52, 1283, 1135
50,102,neighbour,1, 49, 219, 1, 48, 1217, 1106
50,103,ML,1, 53, 242, 70, 52, 1197, 1096
50,103,distance,1, 51, 223, 1, 50, 1169, 1090
50,103,conflict,1, 53, 239, 1, 52, 1227, 1104
50,103,neighbour,1, 51, 233, 1, 50, 1190, 1081
50,104,ML,1, 50, 213, 75, 49, 1358, 1303
50,104,distance,1, 50, 229, 2, 49, 1374, 1286
50,104,conflict,1, 54, 245, 2, 52, 1387, 1327
50,104,neighbour,1, 50, 220, 1, 49, 1316, 1281
50,105,ML,1, 51, 233, 70, 50, 1349, 1230
50,105,distance,1, 51, 233, 1, 50, 1384, 1216
50,105,conflict,1, 53, 239, 1, 52, 1327, 1224
50,105,neighbour,1, 64, 292, 2, 62, 1425, 1300
50,106,ML,1, 53, 238, 71, 52, 1355, 1274
50,106,distance,1, 52, 237, 1, 51, 1318, 1251
50,106,conflict,1, 52, 232, 1, 51, 1304, 1223
50,106,neighbour,1, 52, 232, 1, 51, 1342, 1239
50,107,ML,1, 49, 226, 78, 48, 1216, 1134
50,107,distance,1, 49, 212, 1, 48, 1212, 1128
50,107,conflict,1, 50, 227, 1, 49, 1182, 1105
50,107,neighbour,1, 49, 213, 1, 48, 1217, 1131
50,108,ML,1, 49, 222, 70, 48, 1303, 1210
50,108,distance,1, 49, 219, 1, 48, 1310, 1221
50,108,conflict,1, 49, 223, 1, 48, 1306, 1183
50,108,neighbour,1, 49, 215, 1, 48, 1280, 1191
50,109,ML,1, 58, 250, 74, 57, 1216, 1062
50,109,distance,1, 57, 259, 1, 56, 1203, 1082
50,109,conflict,1, 57, 260, 1, 56, 1144, 1024
50,109,neighbour,1, 57, 258, 1, 56, 1171, 1051
50,110,ML,1, 46, 205, 67, 45, 1234, 1158
50,110,distance,1, 46, 214, 1, 45, 1216, 1152
50,110,conflict,1, 50, 229, 2, 49, 1252, 1154
50,110,neighbour,1, 49, 217, 1, 48, 1282, 1164
50,111,ML,1, 42, 187, 69, 41, 1196, 1086
50,111,distance,1, 42, 185, 1, 41, 1219, 1094
50,111,conflict,1, 44, 202, 1, 43, 1204, 1082
50,111,neighbour,1, 44, 198, 2, 43, 1222, 1099
50,112,ML,1, 51, 228, 70, 50, 1215, 1138
50,112,distance,1, 51, 226, 1, 50, 1225, 1131
50,112,conflict,1, 57, 259, 1, 56, 1274, 1162
50,112,neighbour,1, 51, 228, 1, 50, 1224, 1137
50,113,ML,1, 45, 203, 67, 44, 1168, 1130
